File Name,大小,分配,修改时间,属性,文件,文件夹
"vivo S15\",100533206325,100533206325,2025/07/14 19:28:52,0,216082,26041
"vivo S15\内部存储设备\",100533206325,100533206325,2025/07/14 19:28:52,0,216082,26040
"vivo S15\内部存储设备\DCIM\",35804313667,35804313667,2025/04/28 07:59:41,0,5327,41
"vivo S15\内部存储设备\DCIM\Camera\",32269345901,32269345901,2025/04/28 07:59:41,0,3425,5
"vivo S15\内部存储设备\DCIM\Camera\VID20250202155340.mp4",2224714388,2224714388,2025/02/02 23:59:37,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250325165147.mp4",1855656036,1855656036,2025/03/26 01:04:07,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250202140245.mp4",1515732276,1515732276,2025/02/02 22:06:49,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250202160024.mp4",1185798340,1185798340,2025/02/03 00:03:34,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250202143809.mp4",883158804,883158804,2025/02/02 22:40:31,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250131184535.mp4",593438712,593438712,2025/02/01 02:47:13,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20230921154954.mp4",462195924,462195924,2023/09/21 23:53:00,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20250129183008.mp4",324426436,324426436,2025/01/30 02:31:01,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\video_20250412_133745.mp4",275369589,275369589,2025/04/12 21:39:53,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\VID20241109172701.mp4",255414100,255414100,2024/11/10 01:28:43,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\Cshot\1707552366920\",9340110,9340110,2025/03/26 05:46:20,0,8,0
"vivo S15\内部存储设备\DCIM\Camera\Cshot\1707552366920\IMG20240210160607_BURST007.jpg",1245772,1245772,2024/02/11 00:06:09,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\Cshot\1707552366920\IMG20240210160607_BURST003.jpg",1182072,1182072,2024/02/11 00:06:07,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\Cshot\1707552366920\IMG20240210160607_BURST002.jpg",1180773,1180773,2024/02/11 00:06:08,0,0,0
"vivo S15\内部存储设备\DCIM\Camera\Cshot\1707552366920\IMG20240210160607_BURST006.jpg",1160859,1160859,2024/02/11 00:06:09,0,0,0
"vivo S15\内部存储设备\DCIM\Screenshots\",2560919457,2560919457,2025/03/31 04:02:13,0,1197,0
"vivo S15\内部存储设备\DCIM\Screenshots\Record_2024-04-08-13-41-07_589d4bb4f12f057e26f1c0af39598661.mp4",343348744,343348744,2024/04/08 21:45:59,0,0,0
"vivo S15\内部存储设备\DCIM\Screenshots\Record_2024-04-26-18-08-01_589d4bb4f12f057e26f1c0af39598661.mp4",324317405,324317405,2024/04/27 02:12:10,0,0,0
